Agencia,Jugadores,Exportados,% Exportados,Valor Total (M€),Valor Promedio (M€),Top MV (M€),Fees Generados (M€),Fees Prom x Jugador (€),Edad Promedio
CAA Base,25,3,12.0,827.0,33.08,110.0,884.89,35395786,25.6
Footfeel ISM,25,5,20.0,264.8,10.59,85.0,193.69,7747600,24.9
Interplayers,25,19,76.0,106.5,4.26,16.0,171.91,6876504,26.2
Score Futbol,25,17,68.0,89.6,3.58,40.0,144.66,5786295,28.1
Proyecta Players,25,17,68.0,49.8,1.99,22.0,42.66,1706422,27.8
Star Makers Agency,4,3,75.0,47.5,11.88,20.0,151.35,37837500,29.1
INSUA GROUP,25,17,68.0,27.93,1.12,4.5,30.01,1200467,27.4
Dodici Sports,25,6,24.0,18.98,0.76,6.0,42.65,1706051,23.7
Luis Grillo,25,20,80.0,12.81,0.61,2.5,13.41,536580,28.9
MVP Group,21,13,61.9,8.5,0.57,2.0,30.3,1442933,26.8
Sports360,25,24,96.0,4.45,0.25,1.0,1.14,45409,26.8
PROSPORTS Argentina,7,6,85.7,3.1,1.55,3.0,7.7,1100000,32.8
JEP Sports,25,3,12.0,1.3,0.19,0.45,0.0,0,27.8
Agencia Continental,16,6,37.5,0.7,0.14,0.3,0.0,0,28.7
